Time (s),HMD_Position_X,HMD_Rotation_X
8.5610,2.367944,356.803400
8.5761,2.367902,356.790100
8.5801,2.367850,356.786600
8.5897,2.368009,356.799900
8.6008,2.367918,356.805900
8.6117,2.368155,356.808700
8.6228,2.368065,356.803100
8.6341,2.368111,356.803200
8.6450,2.368176,356.806800
8.6561,2.368217,356.816300
8.6672,2.368265,356.802800
8.6783,2.368320,356.807500
8.6894,2.368309,356.812600
8.7006,2.368217,356.817700
8.7157,2.368091,356.812600
8.7228,2.367949,356.796100
8.7338,2.367739,356.798100
8.7450,2.367718,356.809900
8.7561,2.367502,356.797200
8.7672,2.367417,356.801400
8.7783,2.367291,356.791800
8.7894,2.367200,356.791800
8.8007,2.367216,356.796500
8.8116,2.367039,356.787600
8.8227,2.367152,356.792100
8.8339,2.367170,356.794500
8.8453,2.367064,356.793200
8.8561,2.367275,356.793700
8.8715,2.367438,356.806900
8.8782,2.367667,356.798200
8.8894,2.367946,356.810500
8.9004,2.368013,356.817200
8.9115,2.368049,356.815600
8.9227,2.367940,356.816900
8.9341,2.367980,356.820300
8.9453,2.368080,356.816400
8.9567,2.367982,356.819900
8.9681,2.368156,356.817100
8.9794,2.368114,356.821900
8.9907,2.368325,356.821100
9.0022,2.368341,356.826700
9.0135,2.368399,356.837900
9.0285,2.368467,356.828000
9.0428,2.368434,356.822100
9.0472,2.368453,356.823300
9.0566,2.368409,356.821300
9.0679,2.368588,356.831100
9.0787,2.368676,356.819200
9.0899,2.368817,356.819000
9.1010,2.368734,356.824700
9.1121,2.368655,356.827500
9.1232,2.368834,356.826100
9.1343,2.368833,356.823900
9.1454,2.368886,356.827300
9.1568,2.368821,356.824800
9.1676,2.369041,356.822800
9.1827,2.368903,356.827000
9.1899,2.369103,356.822900
9.2009,2.369123,356.828600
9.2123,2.369202,356.831300
9.2234,2.369232,356.827100
9.2345,2.369144,356.820000
9.2460,2.369264,356.819800
9.2565,2.369149,356.822900
9.2676,2.369402,356.825800
9.2789,2.369445,356.831100
9.2899,2.369470,356.836600
9.3010,2.369447,356.823200
9.3122,2.369576,356.834200
9.3234,2.369583,356.832000
9.3380,2.369525,356.828600
9.3536,2.369647,356.828900
9.3564,2.369779,356.831300
9.3665,2.369631,356.829300
9.3776,2.369497,356.830700
9.3887,2.369730,356.831300
9.3999,2.369766,356.826800
9.4111,2.369705,356.824000
9.4222,2.369759,356.830900
9.4332,2.369835,356.827100
9.4443,2.370078,356.828200
9.4555,2.370021,356.838700
9.4665,2.370219,356.833600
9.4779,2.370257,356.832600
9.4925,2.370325,356.837800
9.4998,2.370387,356.842700
9.5109,2.370405,356.840900
9.5220,2.370332,356.828600
9.5331,2.370299,356.842400
9.5442,2.370376,356.839600
9.5554,2.370511,356.839400
9.5667,2.370467,356.842300
9.5775,2.370507,356.848800
9.5886,2.370402,356.841100
9.5997,2.370671,356.840200
9.6111,2.370684,356.846900
9.6220,2.370770,356.840400
9.6331,2.370672,356.839700
9.6483,2.370778,356.844900
9.6554,2.370815,356.842500
9.6665,2.370759,356.843000
9.6775,2.370789,356.840600
9.6886,2.370697,356.835600
9.6997,2.370783,356.839200
9.7109,2.370743,356.840600
9.7221,2.370688,356.839400
9.7334,2.370653,356.840800
9.7448,2.370632,356.842700
9.7561,2.370603,356.842700
9.7675,2.370701,356.842400
9.7789,2.370588,356.843400
9.7902,2.370554,356.846000
9.8052,2.370685,356.854600
9.8200,2.370664,356.851000
9.8240,2.370805,356.853600
9.8336,2.370831,356.858100
